scenario,run,day,worker_id,worker_type,issue_id,category,severity,action,accepted,duplicate,dispatch_correct,resolved,resolution_hours,submission_minutes
S0,1,12,W061,rider,R01-D11-I10,traffic,low,new_workorder,1,0,1,1,47.726,7.704
S0,1,12,W084,rider,R01-D11-I17,road_or_facility,low,invalid,0,0,,,,9.652
S0,1,12,W132,rider,R01-D11-I00,traffic,low,new_workorder,1,0,0,0,,7.309
S0,1,12,W136,rider,R01-D11-I12,road_or_facility,medium,invalid,0,1,,,,5.783
S0,1,12,W198,rider,R01-D11-I17,road_or_facility,low,new_workorder,1,0,1,1,66.295,9.88
S0,1,12,W222,rider,R01-D11-I08,road_or_facility,medium,new_workorder,1,0,1,1,40.72,6.973
S0,1,12,W232,rider,R01-D11-I15,community_service,low,new_workorder,1,0,1,1,79.301,8.225
S0,1,13,W166,rider,R01-D12-I18,community_service,low,new_workorder,1,0,1,1,49.528,10.945
S0,1,13,W209,rider,R01-D12-I03,road_or_facility,low,invalid,0,0,,,,4.852
S0,1,13,W239,rider,R01-D12-I04,traffic,low,invalid,0,0,,,,7.113
S0,1,14,W035,rider,R01-D13-I15,road_or_facility,low,new_workorder,1,0,0,1,66.473,6.223
S0,1,14,W082,driver,R01-D13-I06,community_service,medium,new_workorder,1,0,0,0,,8.119
S0,1,14,W110,rider,R01-D13-I11,community_access,medium,new_workorder,1,0,1,1,37.012,9.579
S0,1,14,W195,rider,R01-D13-I11,community_access,medium,unmerged_duplicate,1,1,1,1,81.756,5.996
S0,1,14,W216,rider,R01-D13-I15,road_or_facility,low,invalid,0,1,,,,7.163
S0,1,14,W223,rider,R01-D13-I06,community_service,medium,invalid,0,1,,,,8.126
S0,1,15,W005,rider,R01-D14-I17,traffic,low,new_workorder,1,0,0,1,58.539,7.852
S0,1,15,W012,rider,R01-D14-I10,community_service,low,invalid,0,0,,,,7.261
S0,1,15,W052,rider,R01-D14-I10,community_service,low,new_workorder,1,0,0,1,71.297,6.21
S0,1,15,W094,rider,R01-D14-I04,community_access,medium,invalid,0,0,,,,7.598
S0,1,15,W158,rider,R01-D14-I08,traffic,medium,new_workorder,1,0,0,1,71.2,9.153
S0,1,15,W167,rider,R01-D14-I18,community_access,medium,new_workorder,1,0,0,0,,8.33
S0,1,15,W212,rider,R01-D14-I12,public_safety,medium,invalid,0,0,,,,7.886
S0,1,16,W120,rider,R01-D15-I09,public_safety,high,new_workorder,1,0,1,1,54.202,7.681
S0,1,16,W172,rider,R01-D15-I17,road_or_facility,medium,invalid,0,0,,,,6.857
S0,1,17,W037,rider,R01-D16-I15,community_access,medium,invalid,0,0,,,,9.195
S0,1,17,W066,rider,R01-D16-I09,community_access,low,invalid,0,0,,,,6.807
S0,1,17,W230,rider,R01-D16-I12,traffic,low,new_workorder,1,0,1,1,29.385,6.829
S0,1,18,W091,rider,R01-D17-I08,community_service,low,new_workorder,1,0,1,1,67.91,7.578
S0,1,18,W092,rider,R01-D17-I01,public_safety,low,invalid,0,0,,,,7.965
S0,1,18,W099,rider,R01-D17-I03,community_access,low,new_workorder,1,0,1,1,51.828,10.32
S0,1,18,W207,rider,R01-D17-I12,community_access,low,new_workorder,1,0,1,1,44.645,9.373
S0,1,18,W234,rider,R01-D17-I16,community_access,low,new_workorder,1,0,0,0,,6.595
S0,1,18,W235,rider,R01-D17-I15,community_service,low,new_workorder,1,0,0,1,47.696,10.147
S0,1,19,W007,rider,R01-D18-I18,traffic,low,new_workorder,1,0,0,1,100.739,7.775
S0,1,19,W069,rider,R01-D18-I16,community_access,low,new_workorder,1,0,0,1,66.166,9.722
S0,1,19,W072,driver,R01-D18-I02,traffic,medium,new_workorder,1,0,1,1,49.276,5.81
S0,1,19,W078,driver,R01-D18-I13,road_or_facility,medium,invalid,0,0,,,,7.956
S0,1,19,W115,rider,R01-D18-I14,community_access,low,new_workorder,1,0,1,1,36.763,6.643
S0,1,19,W128,rider,R01-D18-I16,community_access,low,unmerged_duplicate,1,1,1,1,48.177,7.953
S0,1,19,W153,rider,R01-D18-I00,community_access,medium,new_workorder,1,0,0,1,41.093,9.635
S0,1,19,W166,rider,R01-D18-I19,community_access,high,new_workorder,1,0,1,0,,7.596
S0,1,20,W049,rider,R01-D19-I08,traffic,medium,invalid,0,0,,,,7.159
S0,1,20,W052,rider,R01-D19-I12,road_or_facility,medium,new_workorder,1,0,1,1,45.202,9.298
S0,1,20,W062,rider,R01-D19-I13,community_access,medium,new_workorder,1,0,1,1,66.452,7.364
S0,1,20,W187,driver,R01-D19-I13,community_access,medium,unmerged_duplicate,1,1,1,1,57.432,7.772
S0,1,20,W189,rider,R01-D19-I17,traffic,low,invalid,0,0,,,,7.141
S0,1,20,W217,rider,R01-D19-I17,traffic,low,new_workorder,1,0,1,0,,6.321
S0,1,21,W073,rider,R01-D20-I01,traffic,high,new_workorder,1,0,0,1,56.056,6.644
S0,1,21,W078,driver,R01-D20-I11,public_safety,low,new_workorder,1,0,1,1,44.976,8.857
S0,1,21,W187,driver,R01-D20-I14,community_access,low,invalid,0,0,,,,10.266
S0,1,21,W194,rider,R01-D20-I18,traffic,medium,new_workorder,1,0,1,1,34.789,6.324
S0,1,21,W205,rider,R01-D20-I04,road_or_facility,low,invalid,0,0,,,,6.726
S0,1,22,W096,rider,R01-D21-I10,community_access,low,new_workorder,1,0,1,1,50.464,8.122
S0,1,22,W113,rider,R01-D21-I13,community_service,medium,invalid,0,0,,,,8.103
S0,1,22,W170,rider,R01-D21-I04,road_or_facility,low,invalid,0,0,,,,6.569
S0,1,22,W223,rider,R01-D21-I16,traffic,low,new_workorder,1,0,0,1,46.36,10.742
S0,1,22,W228,rider,R01-D21-I11,traffic,medium,new_workorder,1,0,1,1,33.596,10.187
S0,1,23,W003,rider,R01-D22-I18,community_access,high,invalid,0,0,,,,5.685
S0,1,23,W029,driver,R01-D22-I03,community_access,medium,new_workorder,1,0,0,0,,9.427
S0,1,23,W091,rider,R01-D22-I15,road_or_facility,low,new_workorder,1,0,1,1,53.714,8.656
S0,1,23,W108,driver,R01-D22-I16,traffic,medium,new_workorder,1,0,0,1,61.024,6.472
S0,1,23,W162,rider,R01-D22-I14,road_or_facility,medium,invalid,0,0,,,,7.62
S0,1,23,W199,rider,R01-D22-I16,traffic,medium,unmerged_duplicate,1,1,0,1,70.68,9.085
S0,1,23,W212,rider,R01-D22-I07,community_access,low,invalid,0,0,,,,8.954
S0,1,23,W237,rider,R01-D22-I06,community_access,medium,invalid,0,0,,,,7.343
S0,1,24,W162,rider,R01-D23-I04,traffic,high,new_workorder,1,0,1,1,59.739,6.638
S0,1,24,W199,rider,R01-D23-I18,road_or_facility,low,new_workorder,1,0,1,1,27.975,8.373
S0,1,25,W077,rider,R01-D24-I09,road_or_facility,critical,emergency_referral,0,0,,,,7.19
S0,1,25,W081,rider,R01-D24-I15,road_or_facility,low,new_workorder,1,0,1,1,32.669,6.524
S0,1,25,W092,rider,R01-D24-I07,road_or_facility,low,new_workorder,1,0,1,1,33.346,7.261
S0,1,25,W210,driver,R01-D24-I19,public_safety,low,new_workorder,1,0,1,1,38.571,8.831
S0,1,26,W092,rider,R01-D25-I13,road_or_facility,high,new_workorder,1,0,1,0,,7.141
S0,1,26,W110,rider,R01-D25-I17,community_access,low,new_workorder,1,0,1,1,45.749,7.322
S0,1,26,W130,rider,R01-D25-I00,road_or_facility,medium,invalid,0,0,,,,10.711
S0,1,26,W133,rider,R01-D25-I06,traffic,low,new_workorder,1,0,1,1,46.865,8.267
S0,1,26,W165,rider,R01-D25-I10,road_or_facility,low,new_workorder,1,0,0,0,,8.108
S0,1,26,W191,driver,R01-D25-I19,community_service,low,invalid,0,0,,,,7.923
S0,1,26,W207,rider,R01-D25-I06,traffic,low,merged_duplicate,1,1,,,,10.033
S0,1,26,W210,driver,R01-D25-I13,road_or_facility,high,invalid,0,1,,,,10.867
S0,1,26,W226,rider,R01-D25-I17,community_access,low,merged_duplicate,1,1,,,,6.744
S0,1,27,W031,driver,R01-D26-I01,community_access,medium,invalid,0,0,,,,6.918
S0,1,27,W100,rider,R01-D26-I09,community_access,low,invalid,0,0,,,,6.927
S0,1,27,W177,rider,R01-D26-I16,traffic,medium,invalid,0,0,,,,9.66
S0,1,27,W216,rider,R01-D26-I03,public_safety,high,new_workorder,1,0,0,1,58.511,7.676
S0,1,28,W008,rider,R01-D27-I09,community_access,medium,invalid,0,0,,,,10.154
S0,1,28,W017,rider,R01-D27-I08,community_access,low,invalid,0,0,,,,9.091
S0,1,28,W102,driver,R01-D27-I08,community_access,low,invalid,0,0,,,,6.996
S0,1,28,W118,driver,R01-D27-I04,public_safety,low,invalid,0,0,,,,6.112
S0,1,28,W193,rider,R01-D27-I05,traffic,medium,invalid,0,0,,,,8.423
S0,1,29,W108,driver,R01-D28-I16,road_or_facility,high,invalid,0,0,,,,6.569
S0,1,29,W162,rider,R01-D28-I15,traffic,low,new_workorder,1,0,0,1,53.673,9.91
S0,1,29,W177,rider,R01-D28-I03,community_access,low,new_workorder,1,0,0,0,,8.7
S0,1,30,W085,rider,R01-D29-I03,community_service,high,new_workorder,1,0,1,1,35.478,7.526
S0,1,30,W086,rider,R01-D29-I12,road_or_facility,medium,new_workorder,1,0,0,1,32.408,9.413
S0,1,31,W025,driver,R01-D30-I00,community_access,low,new_workorder,1,0,1,1,64.787,8.174
S0,1,31,W061,rider,R01-D30-I11,community_access,high,invalid,0,0,,,,7.488
S0,1,31,W115,rider,R01-D30-I11,community_access,high,invalid,0,0,,,,8.896
S0,1,31,W187,driver,R01-D30-I19,road_or_facility,medium,new_workorder,1,0,1,1,36.7,8.969
S0,1,31,W212,rider,R01-D30-I18,traffic,medium,new_workorder,1,0,1,1,53.749,7.49
S0,1,31,W216,rider,R01-D30-I05,community_service,medium,new_workorder,1,0,1,1,56.322,7.898
S0,1,32,W002,rider,R01-D31-I00,traffic,low,new_workorder,1,0,1,1,37.648,8.358
S0,1,32,W041,rider,R01-D31-I01,community_access,low,new_workorder,1,0,1,1,30.592,8.17
S0,1,32,W086,rider,R01-D31-I17,traffic,medium,invalid,0,0,,,,7.683
S0,1,32,W162,rider,R01-D31-I07,road_or_facility,low,invalid,0,0,,,,7.582
S0,1,32,W189,rider,R01-D31-I17,traffic,medium,new_workorder,1,0,1,1,38.679,7.904
S0,1,32,W196,rider,R01-D31-I17,traffic,medium,invalid,0,1,,,,9.513
S0,1,32,W202,rider,R01-D31-I03,community_access,low,new_workorder,1,0,1,1,61.148,10.587
S0,1,33,W014,rider,R01-D32-I00,community_access,low,invalid,0,0,,,,6.392
S0,1,33,W021,driver,R01-D32-I06,community_service,medium,invalid,0,0,,,,4.259
S0,1,33,W039,rider,R01-D32-I06,community_service,medium,invalid,0,0,,,,9.201
S0,1,33,W165,rider,R01-D32-I15,traffic,low,invalid,0,0,,,,6.218
S0,1,33,W173,rider,R01-D32-I06,community_service,medium,invalid,0,0,,,,6.651
S0,1,33,W199,rider,R01-D32-I02,public_safety,high,new_workorder,1,0,1,1,42.469,6.355
S0,1,33,W223,rider,R01-D32-I07,public_safety,medium,invalid,0,0,,,,7.127
S0,1,34,W002,rider,R01-D33-I02,road_or_facility,low,new_workorder,1,0,1,1,39.783,7.3
S0,1,34,W091,rider,R01-D33-I07,community_access,low,new_workorder,1,0,0,1,72.408,10.152
S0,1,34,W105,rider,R01-D33-I10,road_or_facility,low,new_workorder,1,0,1,1,27.628,4.771
S0,1,34,W132,rider,R01-D33-I14,public_safety,low,invalid,0,0,,,,10.47
S0,1,34,W178,driver,R01-D33-I08,community_access,low,invalid,0,0,,,,9.622
S0,1,34,W186,rider,R01-D33-I19,community_service,high,new_workorder,1,0,1,1,54.137,8.621
S0,1,35,W043,driver,R01-D34-I01,traffic,low,new_workorder,1,0,1,1,51.167,9.118
S0,1,35,W054,driver,R01-D34-I11,road_or_facility,low,invalid,0,0,,,,8.524
S0,1,35,W078,driver,R01-D34-I04,traffic,low,new_workorder,1,0,1,1,70.565,8.372
S0,1,35,W082,driver,R01-D34-I08,road_or_facility,low,new_workorder,1,0,1,1,41.936,6.873
S0,1,36,W099,rider,R01-D35-I05,traffic,medium,invalid,0,0,,,,8.138
S0,1,36,W100,rider,R01-D35-I17,road_or_facility,low,invalid,0,0,,,,7.852
S0,1,36,W102,driver,R01-D35-I10,traffic,medium,new_workorder,1,0,0,1,24.672,7.632
S0,1,36,W166,rider,R01-D35-I10,traffic,medium,invalid,0,1,,,,6.962
S0,1,36,W194,rider,R01-D35-I17,road_or_facility,low,invalid,0,0,,,,10.645
S0,1,36,W223,rider,R01-D35-I14,public_safety,high,new_workorder,1,0,0,1,62.1,8.318
S0,1,36,W227,rider,R01-D35-I12,traffic,low,new_workorder,1,0,0,1,58.217,9.487
S0,1,37,W012,rider,R01-D36-I18,community_access,medium,new_workorder,1,0,1,1,107.863,7.321
S0,1,37,W051,rider,R01-D36-I07,traffic,medium,new_workorder,1,0,1,1,63.747,7.931
S0,1,37,W087,driver,R01-D36-I11,community_access,low,invalid,0,0,,,,7.882
S0,1,37,W089,rider,R01-D36-I09,road_or_facility,low,new_workorder,1,0,1,1,32.839,7.578
S0,1,37,W185,rider,R01-D36-I07,traffic,medium,unmerged_duplicate,1,1,1,1,50.105,7.313
S0,1,38,W068,rider,R01-D37-I14,road_or_facility,low,new_workorder,1,0,1,1,65.419,10.122
S0,1,38,W155,rider,R01-D37-I06,community_access,low,new_workorder,1,0,0,1,65.76,7.477
S0,1,38,W183,rider,R01-D37-I05,community_service,high,invalid,0,0,,,,9.691
S0,1,39,W098,rider,R01-D38-I00,traffic,medium,new_workorder,1,0,0,1,62.353,9.037
S0,1,39,W131,rider,R01-D38-I18,road_or_facility,low,new_workorder,1,0,0,0,,6.249
S0,1,39,W227,rider,R01-D38-I01,traffic,low,new_workorder,1,0,1,1,52.639,7.682
S0,1,40,W067,rider,R01-D39-I15,road_or_facility,medium,new_workorder,1,0,1,1,48.265,7.729
S0,1,40,W135,rider,R01-D39-I10,community_service,medium,new_workorder,1,0,0,1,75.244,8.156
S0,1,40,W151,rider,R01-D39-I19,community_service,low,invalid,0,0,,,,7.864
S0,1,40,W158,rider,R01-D39-I03,community_service,medium,invalid,0,0,,,,8.233
S0,1,40,W195,rider,R01-D39-I13,community_service,low,new_workorder,1,0,0,0,,9.575
S0,1,41,W030,driver,R01-D40-I13,traffic,medium,invalid,0,0,,,,7.588
S0,1,41,W043,driver,R01-D40-I07,road_or_facility,low,new_workorder,1,0,1,0,,8.543
S0,1,41,W050,rider,R01-D40-I13,traffic,medium,new_workorder,1,0,1,1,105.101,6.44
S0,1,41,W174,rider,R01-D40-I04,road_or_facility,low,new_workorder,1,0,1,1,25.05,9.928
S0,1,42,W004,rider,R01-D41-I09,traffic,low,invalid,0,0,,,,7.498
S0,1,42,W060,driver,R01-D41-I01,public_safety,medium,new_workorder,1,0,0,1,74.09,7.012
S0,1,42,W135,rider,R01-D41-I19,traffic,medium,invalid,0,0,,,,8.729
S0,1,42,W160,rider,R01-D41-I05,road_or_facility,low,new_workorder,1,0,0,1,40.625,7.451
S0,1,42,W226,rider,R01-D41-I05,road_or_facility,low,invalid,0,1,,,,8.258
S0,1,43,W045,rider,R01-D42-I08,community_access,medium,invalid,0,0,,,,8.386
S0,1,43,W088,driver,R01-D42-I13,road_or_facility,low,new_workorder,1,0,1,0,,7.477
S0,1,43,W170,rider,R01-D42-I13,road_or_facility,low,unmerged_duplicate,1,1,0,0,,8.467
S0,1,43,W201,rider,R01-D42-I17,public_safety,low,invalid,0,0,,,,7.826
S0,1,43,W216,rider,R01-D42-I04,community_access,low,new_workorder,1,0,0,1,55.97,9.049
S0,1,44,W012,rider,R01-D43-I05,road_or_facility,low,new_workorder,1,0,1,1,54.715,10.073
S0,1,44,W093,rider,R01-D43-I17,road_or_facility,low,new_workorder,1,0,0,1,65.766,5.588
S0,1,44,W132,rider,R01-D43-I12,community_service,high,new_workorder,1,0,1,0,,8.151
S0,1,44,W199,rider,R01-D43-I18,community_access,medium,new_workorder,1,0,1,1,57.543,8.324
S0,1,44,W201,rider,R01-D43-I12,community_service,high,merged_duplicate,1,1,,,,7.472
S0,1,44,W202,rider,R01-D43-I11,traffic,high,new_workorder,1,0,1,1,53.459,6.635
S0,1,45,W025,driver,R01-D44-I01,road_or_facility,low,invalid,0,0,,,,8.224
S0,1,45,W027,rider,R01-D44-I17,traffic,low,new_workorder,1,0,1,1,55.243,8.51
S0,1,45,W085,rider,R01-D44-I16,community_service,low,invalid,0,0,,,,9.052
S0,1,45,W115,rider,R01-D44-I07,community_access,low,new_workorder,1,0,1,1,41.647,5.662
S0,1,46,W011,rider,R01-D45-I15,community_access,low,invalid,0,0,,,,8.371
S0,1,46,W013,rider,R01-D45-I01,traffic,low,invalid,0,0,,,,8.209
S0,1,46,W019,rider,R01-D45-I07,public_safety,medium,invalid,0,0,,,,5.979
S0,1,46,W060,driver,R01-D45-I14,community_service,medium,new_workorder,1,0,1,1,39.929,6.073
S0,1,46,W075,rider,R01-D45-I04,community_service,medium,invalid,0,0,,,,10.456
S0,1,46,W119,rider,R01-D45-I01,traffic,low,new_workorder,1,0,0,0,,11.069
S0,1,46,W129,rider,R01-D45-I14,community_service,medium,invalid,0,1,,,,7.711
S0,1,46,W196,rider,R01-D45-I14,community_service,medium,unmerged_duplicate,1,1,0,0,,7.084
S0,1,46,W208,rider,R01-D45-I04,community_service,medium,new_workorder,1,0,0,0,,8.237
S0,1,46,W240,rider,R01-D45-I08,road_or_facility,low,new_workorder,1,0,1,1,57.802,6.859
S0,1,47,W025,driver,R01-D46-I01,community_service,medium,new_workorder,1,0,1,1,46.43,7.915
S0,1,47,W044,rider,R01-D46-I00,community_access,low,new_workorder,1,0,1,1,38.236,6.078
S0,1,47,W059,driver,R01-D46-I17,road_or_facility,medium,invalid,0,0,,,,7.734
S0,1,47,W068,rider,R01-D46-I19,public_safety,medium,invalid,0,0,,,,7.302
S0,1,47,W099,rider,R01-D46-I16,community_access,low,invalid,0,0,,,,7.952
S0,1,47,W144,rider,R01-D46-I18,community_access,critical,emergency_referral,0,0,,,,7.731
S0,1,47,W203,rider,R01-D46-I18,community_access,critical,emergency_referral,0,0,,,,9.681
S0,1,48,W019,rider,R01-D47-I04,road_or_facility,medium,new_workorder,1,0,1,1,48.264,8.884
S0,1,48,W032,rider,R01-D47-I17,community_access,low,new_workorder,1,0,1,1,69.65,8.003
S0,1,48,W072,driver,R01-D47-I15,community_access,low,invalid,0,0,,,,8.961
S0,1,48,W092,rider,R01-D47-I16,traffic,low,new_workorder,1,0,0,0,,7.716
S0,1,48,W115,rider,R01-D47-I09,public_safety,medium,invalid,0,0,,,,8.719
S0,1,48,W155,rider,R01-D47-I13,traffic,low,invalid,0,0,,,,10.305
S0,1,48,W181,driver,R01-D47-I07,public_safety,low,new_workorder,1,0,0,1,70.76,7.582
S0,1,49,W066,rider,R01-D48-I00,community_access,low,new_workorder,1,0,0,0,,8.771
S0,1,50,W052,rider,R01-D49-I19,community_access,medium,new_workorder,1,0,0,1,51.996,7.634
S0,1,50,W081,rider,R01-D49-I03,road_or_facility,low,invalid,0,0,,,,8.208
S0,1,50,W090,rider,R01-D49-I13,community_access,low,new_workorder,1,0,0,1,46.97,7.581
S0,1,50,W092,rider,R01-D49-I19,community_access,medium,unmerged_duplicate,1,1,0,0,,10.473
S0,1,50,W102,driver,R01-D49-I03,road_or_facility,low,invalid,0,0,,,,7.312
S0,1,50,W146,rider,R01-D49-I15,road_or_facility,low,new_workorder,1,0,1,1,36.072,8.88
S0,1,50,W181,driver,R01-D49-I11,public_safety,low,invalid,0,0,,,,7.715
S0,1,50,W217,rider,R01-D49-I04,traffic,high,invalid,0,0,,,,8.964
S0,1,51,W049,rider,R01-D50-I18,community_access,low,new_workorder,1,0,0,1,28.448,7.484
S0,1,51,W093,rider,R01-D50-I09,traffic,high,new_workorder,1,0,0,0,,7.336
S0,1,52,W078,driver,R01-D51-I17,community_access,high,invalid,0,0,,,,8.293
S0,1,52,W140,driver,R01-D51-I11,traffic,medium,new_workorder,1,0,1,1,41.329,8.522
S0,1,52,W166,rider,R01-D51-I07,community_access,high,invalid,0,0,,,,7.045
S0,1,52,W229,driver,R01-D51-I14,traffic,medium,new_workorder,1,0,0,0,,6.099
S0,1,53,W014,rider,R01-D52-I08,road_or_facility,low,invalid,0,0,,,,10.985
S0,1,53,W161,rider,R01-D52-I10,community_access,medium,invalid,0,0,,,,9.843
S0,1,53,W180,rider,R01-D52-I03,public_safety,low,invalid,0,0,,,,5.728
S0,1,53,W235,rider,R01-D52-I05,community_access,high,invalid,0,0,,,,7.866
S0,1,54,W077,rider,R01-D53-I02,community_access,medium,invalid,0,0,,,,9.136
S0,1,54,W109,rider,R01-D53-I08,traffic,high,new_workorder,1,0,1,1,55.593,7.721
S0,1,54,W211,rider,R01-D53-I00,community_access,low,invalid,0,0,,,,8.528
S0,1,55,W055,rider,R01-D54-I05,traffic,medium,new_workorder,1,0,0,1,47.154,7.985
S0,1,55,W078,driver,R01-D54-I17,community_access,medium,new_workorder,1,0,0,0,,8.034
S0,1,55,W081,rider,R01-D54-I18,road_or_facility,medium,invalid,0,0,,,,9.255
S0,1,55,W178,driver,R01-D54-I19,traffic,medium,new_workorder,1,0,0,1,61.36,8.195
S0,1,55,W235,rider,R01-D54-I02,community_access,high,invalid,0,0,,,,5.408
